OBJECTID,ADDRESS_911,PUBLIC_NAME,url,PARENT_NAME,OFFICIAL_NAME,ADDRESS_911
1,400 S TANEY ST,William H (Billy) Markward Memorial Playground,"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Schuylkill River Park,William H. (Billy) Markward Memorial Playground,400 S TANEY ST
2,400 S TANEY ST,Schuylkill Banks,"https://www.google.com/maps/place/Schuylkill+Banks/@39.9521946,-75.1806532,17z/data=!4m7!3m6!1s0x89c6c649a24b08d5:0x469801a321715063!8m2!3d39.9521946!4d-75.1806532!9m1!1b1",Schuylkill Banks,,400 S TANEY ST
3,400 S TANEY ST,Schuylkill River Park,"https://www.google.com/maps/place/Schuylkill+River+Park/@39.9488177,-75.1817665,17z/data=!4m7!3m6!1s0x89c6c7edb4c2cee3:0xd32cb11d8fdc04a5!8m2!3d39.9488177!4d-75.1817665!9m1!1b1",Schuylkill River Park,,400 S TANEY ST
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
